0	blank	1
30000	scrambled	1
60000	happy	1
90000	sad	1
120000	angry	1
150000	neutral	1
180000	happy	1
210000	sad	1
240000	angry	1
270000	neutral	1
300000	scrambled	1
330000	blank	1
360000	end	1
370000	sad	2
400000	neutral	2
430000	blank	2
460000	angry	2
490000	scrambled	2
520000	happy	2
550000	sad	2
580000	neutral	2
610000	blank	2
640000	angry	2
670000	scrambled	2
700000	happy	2
730000	end	2
740000	neutral	3
770000	blank	3
800000	angry	3
830000	scrambled	3
860000	happy	3
890000	sad	3
920000	neutral	3
950000	blank	3
980000	angry	3
1010000	scrambled	3
1040000	happy	3
1070000	sad	3
1100000	end	3
1110000	happy	4
1140000	angry	4
1170000	neutral	4
1200000	blank	4
1230000	sad	4
1260000	scrambled	4
1290000	happy	4
1320000	angry	4
1350000	neutral	4
1380000	blank	4
1410000	sad	4
1440000	scrambled	4
1470000	end	4
1480000	scrambled	5
1510000	sad	5
1540000	happy	5
1570000	neutral	5
1600000	angry	5
1630000	blank	5
1660000	scrambled	5
1690000	sad	5
1720000	happy	5
1750000	neutral	5
1780000	angry	5
1810000	blank	5
1840000	end	5
